지원금명,상태,카테고리,지역,신청기간,지원내용,상세URL
2023 재외동포 경남 한 달 여행하기 참여자 모집,마감,살아보기,경남,2023년 9월 15일 ~ 2023년 12월 15일,1인 최대 50만원(숙박·식비·체험·입장·보험·픽업/샌딩 등 항목별 지원),https://www.masil.io/programs/2fc756b4-95ea-4d38-9d43-b320af32fe31
경북나드리 이벤트 럭키세븐 경북 여행 100선,마감,한달살기,경북,2023년 6월 중 진행,"관광지 인증 시 1천~5천원 상품권, 연말 실적 추첨 100만원 호텔숙박권 등 경품",https://www.masil.io/programs/86b791f7-7cf2-4a23-840c-45f1052f82f4
여행을 일상처럼 함양 온데이(on day),마감,한달살기,경남 함양군,2023년 4월 1일 ~ 2023년 11월 30일,숙박비·조식비·체험비 50% 지원,https://www.masil.io/programs/5ffcaa05-f64f-4121-aa4d-4492775ea4eb
반려동물과 함께 충주로Oh!개,마감,한달살기,충북 충주시,2023.08.01 ~ 상시모집,1인당 10만원 여행상품 요금 할인,https://www.masil.io/programs/c114e260-8fda-4ae9-8ee7-b42740807b49
해남에 살러와 땅끝으로 마실나와 땅끝마실,마감,한달살기,전남 해남군,2023년 5월 1일 ~ 상시모집,"객실당 숙박비 40% 할인, 조식 최대 2회, 세면도구 키트 제공, 피크닉 세트 선착순 무료대여",https://www.masil.io/programs/29a4c56d-a733-491d-b166-7ee1c623cee7
디지털 관광주민증 (부산 영도구),마감,할인/혜택,부산 영도구,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/f0455a2a-923e-4539-a084-5c92fdb0d860
디지털 관광주민증 (고령군),마감,할인/혜택,경북 고령군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/7318307e-e796-46a3-97bd-74b775702ef5
디지털 관광주민증 (거창군),마감,할인/혜택,경남 거창군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/95f76ef2-e9de-4e7f-94b6-7850d598e0c5
디지털 관광주민증 (정선군),마감,할인/혜택,강원 정선군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/658e11f3-79f0-45fd-af3e-21e964b310e5
디지털 관광주민증 (평창군),마감,할인/혜택,강원 평창군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/3ac4081c-e7db-4b37-b93e-e865bb911677
영암 단기살이 프로그램,마감,한달살기,전남 영암군,2023년 8월 31일 ~ 2023년 10월 31일,기숙사 2인1실 숙소 + 2식 + 프로그램 + 프로젝트 미션·재료비 지원,https://www.masil.io/programs/86f72872-63fc-4d70-8a24-b65e29224906
경기서부 핫플 할인받고 다니자,마감,할인/혜택,경기,2023.07.01 ~,경기서부 7개 도시 문화·관광·레저 21개 시설 이용료 10~100% 감면,https://www.masil.io/programs/a7a0cd12-fd67-48fa-93dc-ff641de815f9
공공플랫폼 탐나오 제주여행 할인이벤트 `다시ON제주`,마감,할인/혜택,제주,2023.12.22 ~ 2024.02.18,"숙박·렌터카 최대 30%, 관광지·맛집·특산품 최대 40% 할인 + 조건 충족 시 1만원 기프티콘",https://www.masil.io/programs/40e51acc-4d77-49b1-bed2-9d4e34ad48ff
"2023 청년, 귀농귀촌 괴산로컬캠프",마감,귀농/귀촌,충북,2023년 9월 15일 ~ 2023년 11월 5일,"숙박·식사·농가체험·지역축제 등 전 일정 무료(노쇼 방지 2만원, 수료 시 환불)",https://www.masil.io/programs/e1b98c77-63bd-4afc-bef2-50006f4d44f3
2023년 거창에서 한 달 여행하기 참가자 모집(3차) 추가공고,마감,살아보기,경남 거창군,2023년 10월 20일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/037316a4-4087-4abe-89d2-44026561049a
「로맨틱 목포·신안 일주일살기 6회차」,마감,살아보기,전남 목포시,2023년 10월 20일 ~ 2023년 10월 26일,"- 숙박비 1일 50,000원 한도 내 숙박비의 최대 80% 지원",https://www.masil.io/programs/d12eab26-afc9-4dad-b514-0ff9a27c4e05
「2023년 경남 고성 한 달 살아보기」 (3차),마감,살아보기,경남 고성군,2023년 10월 2일 ~ 2023년 12월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/9cada30a-23e4-4de8-b6aa-7afd724c24b9
금산에서 일주일 살아보기 5기,마감,살아보기,충남 금산군,2023년 11월 6일 ~ 2023년 11월 12일,농촌체험비·숙박·단체버스·식비 일부(총 8식) 지원(참가비 1인 10만원),https://www.masil.io/programs/470bf71d-7ce8-4859-b232-0846f018eac8
2023년 곡성 행복여행활동 지원사업,마감,한달살기,전남,2023년 11월 1일 ~ 2023년 12월 31일,"관광취약계층 대상 전남 도내 당일 여행상품 지원, 거동 불편 장애인은 동행 1인 추가 지원",https://www.masil.io/programs/6fb7daca-c482-4664-b2a8-44ef23b852b2
2023년 의성에서 1주 살아보기,마감,귀농/귀촌,경북 의성군,2023.09.27 ~ 2023.10.17,"식대, 강사비, 숙박비 지원 + 의성군 현황·귀농귀촌 정책 안내 + 대표작목 농업현장 견학 및 체험",https://www.masil.io/programs/f4731d88-a682-4f87-90a2-42a6074075e1
강동구민과 함께하는 완주에서 살아보기,마감,살아보기,전북,2023년 10월 24일 ~ 2023년 10월 26일,"버스·식사·숙박·여행자보험 지원(자부담 40,000원)",https://www.masil.io/programs/937ad8d6-147d-4d18-9922-9f4442e0843b
2023년 진도군 행복여행 지원사업 (추가 모집),마감,한달살기,전남 진도군,2023년 11월 13일 ~ 2023년 11월 17일,"장애인 본인 350,000원+동행 230,000원(2인 580,000원), 저소득층 본인 350,000원 상당 1박2일 여행상품 지원",https://www.masil.io/programs/6ea4b299-cf5a-423c-8039-e2df13aad704
계양 관광지 스탬프투어 이벤트,마감,미션,인천,2023.09.11 ~ 2023.10.31,200명 추첨 1만원 상당 모바일상품권,https://www.masil.io/programs/d5bfd324-e6ba-41e8-bc0b-354bd5ae0c8c
국제농업박람회 관람하고 전남 관광지 할인 받으세요!,마감,할인/혜택,전남,2023년 10월 12일 ~ 2023년 10월 22일,국제농업박람회 입장권 소지자 대상 전남 주요 관광지 최대 50% 할인,https://www.masil.io/programs/63a5d550-49fd-4cd3-95b6-0aa6edae901e
경기북부 5박6일 ESG로 살아보기,마감,살아보기,경기,2023.10.30 ~ 2023.11.12,참가비 무료(숙박·식사·여행자보험·프로그램 참가비 지원),https://www.masil.io/programs/791239af-43c4-4e47-b85b-f0cc8ac2e9dc
대전 미션투어 대전 가보자GO!,마감,미션,대전광역시,2023년 4월 1일 ~ 2023년 11월 30일,"미션 수행·증빙 시 1인당 최대 50,000원, 최대 4인 200,000원 여행경비 지원",https://www.masil.io/programs/b73efcf1-d847-41f5-90c9-6dcc01a1358b
보은으로 5GO 미션투어,마감,미션,충북,2023년 10월 10일 ~ 2023년 11월 1일,"※ 여행경비는 125,000원 초과 시 소득공제 (8.8%) 후 지급됩니다.",https://www.masil.io/programs/9dcc465d-af01-491d-ad48-3c1d7161de47
2023 보령 섬투어 인센티브 지원 계획 공고,마감,투어/체험,충남 보령시,2023년 4월 1일 ~ 2023년 12월 31일,"식비·숙박비·체험비·승선료 일부 지원(당일 최대 2.5만원, 1박 최대 5만원 범위 실비)",https://www.masil.io/programs/bd40ce2c-aa68-4024-a6da-96057a3b6494
(영주시) 2023년 일주일 살아보기 참여 프로그램,마감,살아보기,경북 영주시,2023년 9월 18일 ~ 2023년 12월 15일,숙박비 1인 1박 최대 3만원 + 체험비 1인 1일 최대 2만원(식비 포함),https://www.masil.io/programs/27fe7907-208f-4585-acb8-923b6df02e88
[신안군] 2023년 전남 관광취약계층 행복여행활동 지원사업 2차 여행참가자 모집 공고,마감,한달살기,전남,2023년 10월 12일 ~ 2023년 11월 30일,"1박2일 여행상품 1인 최대 350,000원, 거동 불편 장애인 동행 1인 최대 230,000원 추가 지원",https://www.masil.io/programs/436c10d9-04dd-4ae6-ac1d-aac17118ceca
2023년 핫한영월 먼저 살아보기 참가자(6기) 모집 공고,마감,살아보기,강원 영월군,2023년 11월 1일 ~ 2023년 11월 30일,주거공간 제공 + 활동비 월 30만원,https://www.masil.io/programs/ae8b4e2e-0cb5-4ce0-bf44-fdedcc2fc535
[목포시] 2023년「전남관광취약계층 행복여행활동 지원사업」 2차 참가자 모집,마감,한달살기,전남 목포시,2023년 8월 26일 ~ 2023년 12월 10일,"관광취약계층 대상 전남 도내 당일 여행상품 지원, 거동 불편 장애인 동행 1인 추가 지원",https://www.masil.io/programs/e1f366b2-240a-4293-8db8-486d7268d816
남해에서 만드는 나만의 친환경 여행! - 탄탄남해 챌린저 모집,마감,한달살기,경남 남해군,2023년 11월 3일 ~ 2023년 12월 4일,활동지원금 1인팀 10만원·2인팀 13만원·3인팀 16만원·4인팀 20만원,https://www.masil.io/programs/0241772b-a441-48a3-9a0c-1bc5efc94809
꿀벌청년 진안 한달살기 - 청년 진안을 물들이다,마감,살아보기,전북,2023년 11월 20일 ~ 2023년 12월 15일,"기간 중 숙박시설·지역 적응/교육 프로그램·진안군 시설 이용권·웰컴키트 제공(입주비 100,000원, 보증금 50,000원은 수료 시 반환)",https://www.masil.io/programs/bc1ba11b-e1c0-40ba-93cc-f81f5a9af038
전남 해남에서 즐기는 너나들이 해남 미션투어,마감,미션,전남 해남군,~ 2023.11.20,"1인 5만원, 최대 4인(팀 최대 20만원) 지원",https://www.masil.io/programs/9132fb84-fad7-4375-8488-bdec89d9854c
인지상주 2박3일 리얼상주체험,마감,한달살기,경북,2023년 10월 27일 ~ 2023년 10월 29일,2박3일 숙박·체험·식사 제공,https://www.masil.io/programs/038ccadd-b4a9-49ab-a32c-34d4f2ef4e2a
2023년 슬기로운 전북여행,마감,한달살기,전북,2023.04.01 ~ 2023.11.30,"참여 도내 숙박 업체에서 1박 이상 숙박하는 경우 1인 10,000원 지원",https://www.masil.io/programs/0e0deccc-df09-4e09-bc2e-52adc5849a5d
농촌체험관광 DMZ마켓 연계 팸투어,마감,투어/체험,강원 철원군,2023년 10월 28일 ~ 2023년 10월 29일,철원 농촌체험관광 DMZ마켓 연계 1박2일 팸투어 여행 지원,https://www.masil.io/programs/3c2d9c29-15ad-41b9-9f6c-b257fa87a520
"지금 우리, 보성여행(남도에서 한 달 여행하기) 2차",마감,살아보기,전남 보성군,2023년 11월 1일 ~ 2023년 11월 30일,숙박비·교통비·식비·관광비·여행자보험 등 지원,https://www.masil.io/programs/36585a7f-4699-4f86-a3f1-9176aa00d383
[파주여행택시 이벤트]나의 여행타입? 나의 파주여행! (1차),마감,한달살기,경기,2023년 10월 18일 ~ 2023년 10월 26일,"파주 여행택시 기본 3시간 이용요금 60,000원 지원 + 후기 작성 시 커피쿠폰",https://www.masil.io/programs/6012e36a-5479-4a5e-a7ca-0175e6e7a02a
[파주여행택시 이벤트]나의 여행타입? 나의 파주여행! (2차),마감,한달살기,경기,2023년 10월 30일 ~ 2023년 11월 10일,"파주 여행택시 기본 3시간 이용요금 60,000원 지원 + 후기 작성 시 커피쿠폰",https://www.masil.io/programs/8632a247-fe83-4372-9336-16f2ad958851
2023 파랑바람 소셜투어 Wellness 양양,마감,투어/체험,강원 양양군,2023년 10월 26일 ~ 2023년 10월 27일,숙박·요트체험·식사·네트워킹·해변요가·비치코밍 등 전체 행사 무료,https://www.masil.io/programs/1b6fda12-54ed-4842-9f6a-a4f31568cad0
"2023 청년남도 문화관광체험 페스티벌 우리, 목포로 커뮤니티 네트워킹 투어",마감,투어/체험,전남 목포시,2023년 10월 28일 ~ 2023년 11월 19일,참가비 1만원에 1박2일 숙박·식사·체험 제공,https://www.masil.io/programs/155f13cb-552a-451a-b53b-3eca672d6111
남해로 On (관광주민증),마감,할인/혜택,경남 남해군,2023년 8월 1일 ~ 상시,무료 관광주민증 + 남해군 제휴 관광사업체 할인 및 사은품,https://www.masil.io/programs/0603c156-4184-494f-8afe-64c292c09b5f
여순10.19사건 전국화를 위한 유적지 답사,마감,한달살기,전남,~ 2023.11.03,답사 경비 전액 + 중식·간식·자료집 제공,https://www.masil.io/programs/3383a9a6-c56a-4588-b81c-c61f77d1b8c6
신안 디지털관광주민증 발급 EVENT 신안 구석구석 여행하고 혜택 받자,마감,할인/혜택,전남,2023년 10월 10일 ~ 2023년 12월 3일,커피 기프티콘(500명 추첨),https://www.masil.io/programs/b244f1c3-d7e8-4435-8c54-4979b8144f0d
2023년 DMZ생태관광지역 지정 및 육성사업 프로그램,마감,한달살기,강원 양구군,2023년 10월 20일 ~ 2023년 12월 5일,DMZ 생태관광 프로그램을 무료 또는 할인된 가격으로 제공,https://www.masil.io/programs/86a4a3d3-c2de-4db7-bce2-3ed8545bfb2e
10기 우리동네 마을캠프 (금초권역센터),마감,투어/체험,충남,2023년 11월 11일 ~ 2023년 11월 12일,프로그램 비용 전액 지원,https://www.masil.io/programs/90908c60-b3cd-40da-9a82-a361a4cef2d6
무제한 경기여행 경기투어패스,마감,투어/체험,경기,상시모집,경기도 내 약 80개 관광시설을 48시간 자유 이용할 수 있는 통합 이용권,https://www.masil.io/programs/34a74828-a5a2-4dd8-8069-950cabaf1195
곡성군 남도 숙박할인 BIG 이벤트,마감,할인/혜택,전남 곡성군,2023.09.04 ~ 2023.12.10,"숙박 1박당 70,000원 미만 20,000원 / 70,000~100,000원 미만 30,000원 / 100,000원 이상 40,000원 할인(최대 10박)",https://www.masil.io/programs/c5c77e9c-5879-4a27-938a-d1c6e654ea9b
[구례군] 2023 남도 숙박할인 BIG 이벤트,마감,할인/혜택,전남 구례군,2023년 10월 11일 ~ 2023년 12월 22일,"숙박 1박당 70,000원 미만 20,000원 / 70,000~100,000원 미만 30,000원 / 100,000원 이상 40,000원 할인",https://www.masil.io/programs/08fa6be6-0202-410a-ad96-73c8e81d5339
나만의 어(魚)행기,마감,한달살기,전국,2023.10.12 ~ 2023.11.30,"1개 코스 이상 완주(50명 추첨): 지역특산품 30,000원 상당",https://www.masil.io/programs/9a194933-06c8-41bb-8ea4-bfd5f7f8f676
[장성군] 2023년 남도 숙박할인 BIG 이벤트,마감,할인/혜택,전남,2023년 6월 26일 ~ 2023년 12월 10일,"숙박 1박당 70,000원 미만 20,000원 / 70,000~100,000원 미만 30,000원 / 100,000원 이상 40,000원 할인",https://www.masil.io/programs/d20dd5b4-0a17-4af2-8a90-1f869874b41d
꿈마 3기 : 고(흥의) 향,마감,한달살기,전남 고흥군,2023년 11월 6일 ~ 2023년 11월 22일,"공유한옥 숙박·생활가전·일부 생필품·체험활동비·여행자보험·프로그램 식사 지원(보증금 100,000원 환급형)",https://www.masil.io/programs/8e2cd259-90ab-453a-8907-fc2a4fcc0c89
2023 인천청년한달살기,마감,살아보기,인천광역시,2023.10.23 ~ 2023.10.30,네트워크형 숙소·프로그램 제공 / 자기주도형 활동비 200만원 지원,https://www.masil.io/programs/fed9b97c-e06c-4914-a37b-aa0032517c9d
한국방문의 해와 함께하는 2023 대한민국 숙박세일 페스타 (전국편),마감,한달살기,전국,2023.10.27 ~ 2023.11.24,국내 숙박 할인권 제공(참여 온라인여행사에서 1인 1매),https://www.masil.io/programs/01650800-62bd-4475-8ad5-c129bbcbf532
상주스테이,마감,한달살기,경북,2023년 10월 1일 ~ 2023년 12월 31일,"숙소 무료 이용(보증금 5만원, 퇴실 시 환급)",https://www.masil.io/programs/8bea2787-7933-43e8-bd6d-101348e5b3f0
2023 함안에서 한 달 살기 (3차),마감,살아보기,경남 함안군,2023년 11월 4일 ~ 2023년 12월 15일,숙박 팀당 1박 5만원 + 체험 1인 최대 5만원 실비,https://www.masil.io/programs/9b9f5615-4728-435b-abb2-10f7894abc49
「예산 어디까지 가봤니?!」 군민팸투어,마감,투어/체험,충남,2023.10.23 ~ 2023.11.03,지역 관광·체험 팸투어 여행 프로그램 지원,https://www.masil.io/programs/c265cdee-fa9b-4561-a070-e0fdea024f6a
남해 생활관광 '여행이 필요할 때 남해',마감,한달살기,경남 남해군,2023.07.20 ~ 2023.12.31,2박3일 숙소·체험·원데이클래스·관광지 이용권 등 패키지 최대 50% 할인,https://www.masil.io/programs/ece8a487-a2ab-4b08-89bb-232797c78442
로컬과 연결되는 동네살이 로컬 mix 편,마감,한달살기,전북,2023년 11월 8일 ~ 2023년 11월 12일,4박5일 숙박(1인1실)·워킹스페이스·식비 9끼·로컬 프로그램·웰컴키트 지원,https://www.masil.io/programs/27804f2a-0bec-4c46-b7b5-608ee57f2316
동두천 보산 문화 로드 시범 투어,마감,투어/체험,경기 동두천시,~ 2023.11.02,"여행자 보험‚ 지역 선물 증정, 비용 지급 200,000원",https://www.masil.io/programs/d64a9380-6b20-4a48-a268-c26caf1dc8b2
시간여행101과 함께하는 미션투어,마감,미션,전북 전주시·군산시·고창군·부안군,2023.10.25 ~ 2023.11.17,"1인 50,000원, 일행당 최대 4인·최대 200,000원 지원 (최대 400명)",https://www.masil.io/programs/e3208b81-c5bc-40fc-9a20-b6e31e18da9c
「김해로 가야해 팸투어」,마감,투어/체험,경남 김해시,2023년 11월 21일 ~ 2023년 11월 22일,숙식·교통·관광·체험·기념품·여행자 단체보험 지원,https://www.masil.io/programs/5fae0822-c765-40e4-93eb-3b151b0d40ec
[신안군] 2023년 전남 관광취약계층 행복여행활동 지원사업 3차 여행참가자 모집 공고,마감,한달살기,전남,2023년 10월 31일 ~ 2023년 11월 30일,"1박2일 여행상품 1인 최대 350,000원, 거동 불편 장애인 동행 1인 최대 230,000원 추가 지원",https://www.masil.io/programs/bc4e41be-bc35-40b4-9501-aa4b93f61ec7
베이비부머 농촌 한달 체험 참가자 모집,마감,살아보기,경기,2023년 11월 18일 ~ 2023년 12월 17일,한 달간 개별 주거공간 및 교육프로그램 제공,https://www.masil.io/programs/8b8bf620-d150-43f9-ba8e-a5c826d2d13e
고라데이마을 휴가비 지원,마감,한달살기,강원 횡성군,2023년 6월 9일 ~ 2023년 12월 31일,"- 객실당 최대 18만원 지원 (1인 1박 15,000원, 최대 4인까지)",https://www.masil.io/programs/10635cc0-d601-46ea-a5b7-b2a3b3e59ab7
나와 예산의 빈칸 채우기 예산 탐구생활,마감,한달살기,충남,2023년 11월 9일 ~ 2023년 11월 17일,8박9일 숙소 무료 + 관광지 투어·네트워킹·정착 지원 및 추가 숙박 기회,https://www.masil.io/programs/1a3f7b54-04b6-4bdf-8f26-99dd95aa4edf
디지털 관광주민증 (태안군),마감,할인/혜택,충남 태안군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/b51af865-8e4e-46a5-a718-631a4ddc92dd
디지털 관광주민증 (옥천군),마감,할인/혜택,충북 옥천군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/2941acc2-ec37-4b49-b354-c3cd3b517ed3
디지털 관광주민증 (단양군),마감,할인/혜택,충북 단양군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/bc0e0c19-1b5c-4899-b9a8-42624993456d
디지털 관광주민증 (인천 강화군),마감,할인/혜택,인천 강화군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/5d287f4b-23ac-4944-897d-4fea91d085bb
「사천에서 한 달 여행하기」 (3차),마감,살아보기,경남 사천시,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/0083ee17-cf58-4747-b7bc-6ee92ffba7dc
공주에서 살아보기,마감,살아보기,충남,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 70,000원",https://www.masil.io/programs/dba5139e-2c50-4a94-91f0-e3e022e231fc
디지털 관광주민증 (고창군),마감,할인/혜택,전북 고창군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/0fb6aa0e-fa7e-4af9-b8a7-116378d41e82
2023년 진도군 행복여행 지원사업,마감,한달살기,전남 진도군,2023.09.13 ~ 2023.09.26,"관광취약계층 대상 전남도내 1박2일 여행상품 지원(본인 최대 350,000원, 거동 불편 장애인 동행 지원)",https://www.masil.io/programs/897632ff-7ff2-4858-9373-3e6d31b20731
2023 인천 시민체험단 모집,마감,한달살기,인천광역시,2023.09.06 ~ 2023.09.30,관광코스 무료체험(무료 관광지는 소정 활동비) + 우수 체험단 10명 호텔·캠핑·시티투어 이용권 등,https://www.masil.io/programs/b1b6680a-ccf3-4e79-8f00-f102f5bf1fc8
진안군 알뜰관광 지원사업 (3차),마감,체험여행,전북 진안군,2023.09.21 ~ 2023.09.27,"- 10만원 이상 관내 지출(2개소 이상) 50,000원",https://www.masil.io/programs/0015b402-be61-433e-923c-14fc5db5267c
2023 DOGO온천 취향살이 사진편,마감,살아보기,충남,2023년 10월 10일 ~ 2023년 10월 14일,숙소·공유오피스·3박4일 프로그램 무료·여행자보험·로컬 네트워킹 제공,https://www.masil.io/programs/87e094ab-b553-481e-ad4d-b397a5ecb881
2023 라이프 워케이션 6팀 (속초),마감,워케이션,강원,2023년 10월 8일 ~ 2023년 10월 14일,숙박·웰컴키트·프로그램일 1일1식·커뮤니티룸·공유오피스·프로그램 제공,https://www.masil.io/programs/e22b388e-3113-4861-b2fa-8a114615563e
2023 라이프 워케이션 7팀 (속초),마감,워케이션,강원,2023년 10월 22일 ~ 2023년 10월 28일,숙박·웰컴키트·프로그램 진행일 1일1식·커뮤니티룸·공유오피스·프로그램 지원,https://www.masil.io/programs/86795d65-93b1-4929-9384-4931e0624f9c
고흥 떳!다방 : 팝업 카페,마감,한달살기,전남 고흥군,2023년 10월 22일 ~ 2023년 10월 28일,공유한옥 숙박·생활가전·일부 생필품·견학·체험활동비·여행자보험 지원,https://www.masil.io/programs/ff7dd920-f3e9-4285-a3b0-143c22250bcf
2023 괴산에서 2박3일 살아보기,마감,살아보기,충북,2023년 10월 7일 ~ 2023년 11월 30일,"숙박 팀당 1박 최대 60,000원, 체험·입장료 1인 최대 25,000원, 식비 1인 최대 30,000원 실비 지원",https://www.masil.io/programs/a0403431-bb50-4ae1-9ff5-16653e5ec4db
2023 대한민국 숙박세일 페스타 추석편,마감,한달살기,전국,2023년 9월 27일 ~ 2023년 10월 15일,"50,000원 초과 국내 숙박상품 구매 시 30,000원 할인쿠폰 1인 1매",https://www.masil.io/programs/58e8cd94-f24d-4bfd-ba4a-dfdcf194b999
설렘 가득 합천 미션 투어,마감,미션,경남 합천군,2023년 10월 4일 ~ 2023년 11월 7일,"미션 완료 시 1인당 50,000원, 최대 4인 지원",https://www.masil.io/programs/009b1fc4-4048-4f5f-8a45-b935f53ce305
단양에서 일주일살기(단양일기) 참가자 모집 공고,마감,살아보기,충북,2023년 10월 26일 ~ 2023년 12월 14일,"숙박비 1인 50,000원/2인 60,000원/3인 70,000원/4인 80,000원, 체험비 1인·1일 10,000원 지원",https://www.masil.io/programs/26ffa153-4fd6-4fd9-9c4f-5d2d33507433
"2023 경남에서 한 달 여행하기 「요즘 김해, 지금 여행」 (2차)",마감,살아보기,경남 김해시,2023년 7월 1일 ~ 2023년 9월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/aa96994d-f46e-42ee-8291-f09337358767
"2023 경남에서 한 달 여행하기 「요즘 김해, 지금 여행」 (3차)",마감,살아보기,경남 김해시,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/28198581-2baf-45f6-bae2-7a0b5cbadd60
"2023년 밀양 한 달 살이 「살아보소, 밀양」",마감,살아보기,경남 밀양시,공고별 모집기간 운영(2023년),"- 숙박비 1일 50,000원",https://www.masil.io/programs/1956be62-5bd6-493d-ba75-d9437a98153e
내가 그린 함양에서 한 달 여행하기 (3차),마감,살아보기,경남 함양군,2023년 8월 1일 ~ 2023년 9월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/81cfbaf8-5fd1-4997-9943-3d412212ae41
"'거제에서 한 달, 숨 쉼' (1차)",마감,살아보기,경남 거제시,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/26dac25d-73b5-4171-b55a-d11419b4b730
"'거제에서 한 달, 숨 쉼' (2차)",마감,살아보기,경남 거제시,2023년 6월 1일 ~ 2023년 7월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/563f20a5-1908-4d2a-a2e3-51f55531c9cf
"'거제에서 한 달, 숨 쉼' (3차)",마감,살아보기,경남 거제시,2023년 9월 1일 ~ 2023년 10월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/a034e308-89c1-421b-9448-d186127c8ccb
"2023년 「일상 off, 양산으로 on」 양산에서 한 달 여행하기 (1차)",마감,살아보기,경남 양산시,2023년 4월 10일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/8a4a0d4f-0539-406c-ad02-07856a78b351
"2023년 「일상 off, 양산으로 on」 양산에서 한 달 여행하기 (2차)",마감,살아보기,경남 양산시,2023년 7월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/a1b02f03-b33b-427c-b974-a6b626ffe3b1
"2023년 「일상 off, 양산으로 on」 양산에서 한 달 여행하기 (3차)",마감,살아보기,경남 양산시,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/96494942-c893-4047-a003-fdb469a9a841
"2023년 「here, UR 여기, 의령에서 한 달 여행하기」 (1차)",마감,살아보기,경남 의령군,2023년 4월 1일 ~ 2023년 6월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/7656df40-1d4b-472b-8104-e6523f08ebf2
"2023년 「here, UR 여기, 의령에서 한 달 여행하기」 (2차)",마감,살아보기,경남 의령군,2023년 7월 1일 ~ 2023년 9월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/741bab52-7d85-43f1-bde0-5cd6c6256fc1
2023 함안 한 달 살기 (1차),마감,살아보기,경남 함안군,2023년 4월 17일 ~ 2023년 6월 16일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/cdd9eb6b-4174-43ca-bc23-55c6146bcccd
2023 함안 한 달 살기 (2차),마감,살아보기,경남 함안군,2023.07.18 ~ 2023.07.25,"- 숙박비 1일 50,000원",https://www.masil.io/programs/5087a21d-b1dd-44ab-ac3f-a1f4ca7806d9
2023년 경남에서 한 달 여행하기(안녕! 자연의 창녕에서 한 달 여행하기) (1차),마감,살아보기,경남 창녕군,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/ca5f88e9-07ac-4c27-9188-b3379be3f1ff
2023년 경남에서 한 달 여행하기(안녕! 자연의 창녕에서 한 달 여행하기) (2차),마감,살아보기,경남 창녕군,2023년 7월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/19fc8510-f064-44da-b08f-5382a0448ea3
2023년 경남에서 한 달 여행하기(안녕! 자연의 창녕에서 한 달 여행하기) (3차),마감,살아보기,경남 창녕군,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/6ed63313-7eaf-4610-86fc-10935ef9a1e2
「2023년 경남 고성 한 달 살아보기」 (1차),마감,살아보기,경남 고성군,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/85efb89b-f730-4bc3-b082-1e5e1bd73e45
